Command Type,command,Return,Note
CAM_PowerInq,8x 09 04 00 FF,y0 50 02 FF,On
CAM_PowerInq,8x 09 04 00 FF,y0 50 03 FF,Off (Standby)
CAM_ZoomPosInq,8x 09 04 47 FF,y0 50 0p 0q 0r 0s FF,pqrs: Zoom Position
CAM_Focus ModeInq,8x 09 04 38 FF,y0 50 02 FF,Auto Focus
CAM_Focus ModeInq,8x 09 04 38 FF,y0 50 03 FF,Manual Focus
CAM_FocusPosInq,8x 09 04 48 FF,y0 50 0p 0q 0r 0s FF,pqrs: Focus Position
CAM_WBModeInq,8x 09 04 35 FF,y0 50 00 FF,Auto
CAM_WBModeInq,8x 09 04 35 FF,y0 50 01 FF,Indoor Mode
CAM_WBModeInq,8x 09 04 35 FF,y0 50 02 FF,Outdoor Mode
CAM_WBModeInq,8x 09 04 35 FF,y0 50 03 FF,OnePush Mode
CAM_WBModeInq,8x 09 04 35 FF,y0 50 04 FF,ATW
CAM_WBModeInq,8x 09 04 35 FF,y0 50 05 FF,Manual
CAM_RGainInq,8x 09 04 43 FF,y0 50 00 00 0p 0q FF,pq: R Grain
CAM_BGainInq,8x 09 04 44 FF,y0 50 00 00 0p 0q FF,pq: B Grain
CAM_AEModeInq,8x 09 04 39 FF,y0 50 00 FF,Full Auto
CAM_AEModeInq,8x 09 04 39 FF,y0 50 03 FF,Manual
CAM_AEModeInq,8x 09 04 39 FF,y0 50 0A FF,Shutter Priority
CAM_AEModeInq,8x 09 04 39 FF,y0 50 0B FF,Iris Priority
CAM_AEModeInq,8x 09 04 39 FF,y0 50 0D FF,Bright
CAM_Shutter PosInq,8x 09 04 4A FF,y0 50 00 00 0p 0q FF,pq: Shutter Position
CAM_IrisPosInq,8x 09 04 4B FF,y0 50 00 00 0p 0q FF,pq: Iris Position
CAM_GainPosiInq,8x 09 04 4C FF,y0 50 00 00 0p 0q FF,pq: Gain Position
CAM_ BrightPosiInq,8x 09 04 4D FF,y0 50 00 00 0p 0q FF,pq: Bright Position
CAM_ ImageBright PosiInq,8x 09 04 A4 FF,y0 50 00 00 0p 0q FF,pq: ImageBright Position
CAM_SaturationInq,8x 09 04 A1 FF,y0 50 00 00 0p 0q FF,pq: Saturation level 0x00~0x0f
CAM_DefogInq,8x 09 04 A3 FF,y0 50 0p FF,p: Defog level 0x00~0x0f
CAM_ContrastInq,8x 09 04 A2 FF,y0 50 00 00 0p 0q FF,pq: Contrast level 0x00~0x0f
CAM_WDRModeInq,8x 09 04 3D FF,y0 50 02 FF,On
CAM_WDRModeInq,8x 09 04 3D FF,y0 50 03 FF,Off
CAM_WDRPosInq,8x 09 04 2D FF,8x 01 04 02 03 FF,pq: WDR LEVEL Position 1~6
